:START_ID(Employee),:END_ID(Order),:TYPE
1,3,PROCESSED
1,5,PROCESSED
1,7,PROCESSED
1,14,PROCESSED
1,15,PROCESSED
1,20,PROCESSED
1,23,PROCESSED
1,25,PROCESSED
1,28,PROCESSED
1,29,PROCESSED
1,31,PROCESSED
1,35,PROCESSED
1,41,PROCESSED
1,52,PROCESSED
1,61,PROCESSED
1,64,PROCESSED
1,68,PROCESSED
1,69,PROCESSED
1,70,PROCESSED
1,74,PROCESSED
1,77,PROCESSED
1,78,PROCESSED
1,80,PROCESSED
1,81,PROCESSED
1,92,PROCESSED
1,93,PROCESSED
1,94,PROCESSED
1,96,PROCESSED
2,2,PROCESSED
2,4,PROCESSED
2,8,PROCESSED
2,11,PROCESSED
2,13,PROCESSED
2,17,PROCESSED
2,22,PROCESSED
2,26,PROCESSED
2,30,PROCESSED
2,33,PROCESSED
2,36,PROCESSED
2,37,PROCESSED
2,42,PROCESSED
2,43,PROCESSED
2,45,PROCESSED
2,46,PROCESSED
2,47,PROCESSED
2,48,PROCESSED
2,54,PROCESSED
2,55,PROCESSED
2,56,PROCESSED
2,57,PROCESSED
2,58,PROCESSED
2,62,PROCESSED
2,63,PROCESSED
2,65,PROCESSED
2,71,PROCESSED
2,75,PROCESSED
2,82,PROCESSED
2,84,PROCESSED
2,86,PROCESSED
2,87,PROCESSED
2,88,PROCESSED
2,89,PROCESSED
2,91,PROCESSED
2,97,PROCESSED
2,100,PROCESSED
3,1,PROCESSED
3,6,PROCESSED
3,9,PROCESSED
3,10,PROCESSED
3,12,PROCESSED
3,16,PROCESSED
3,18,PROCESSED
3,19,PROCESSED
3,21,PROCESSED
3,24,PROCESSED
3,27,PROCESSED
3,32,PROCESSED
3,34,PROCESSED
3,38,PROCESSED
3,39,PROCESSED
3,40,PROCESSED
3,44,PROCESSED
3,49,PROCESSED
3,50,PROCESSED
3,51,PROCESSED
3,53,PROCESSED
3,59,PROCESSED
3,60,PROCESSED
3,66,PROCESSED
3,67,PROCESSED
3,72,PROCESSED
3,73,PROCESSED
3,76,PROCESSED
3,79,PROCESSED
3,83,PROCESSED
3,85,PROCESSED
3,90,PROCESSED
3,95,PROCESSED
3,98,PROCESSED
3,99,PROCESSED
