:START_ID(Order),:END_ID(Shipper),:TYPE
3,9,SHIPPED_VIA
5,8,SHIPPED_VIA
7,10,SHIPPED_VIA
14,2,SHIPPED_VIA
15,10,SHIPPED_VIA
20,5,SHIPPED_VIA
23,6,SHIPPED_VIA
25,5,SHIPPED_VIA
28,9,SHIPPED_VIA
29,1,SHIPPED_VIA
31,7,SHIPPED_VIA
35,5,SHIPPED_VIA
41,9,SHIPPED_VIA
52,10,SHIPPED_VIA
61,10,SHIPPED_VIA
64,10,SHIPPED_VIA
68,7,SHIPPED_VIA
69,5,SHIPPED_VIA
70,3,SHIPPED_VIA
74,6,SHIPPED_VIA
77,6,SHIPPED_VIA
78,10,SHIPPED_VIA
80,9,SHIPPED_VIA
81,9,SHIPPED_VIA
92,3,SHIPPED_VIA
93,9,SHIPPED_VIA
94,2,SHIPPED_VIA
96,2,SHIPPED_VIA
2,6,SHIPPED_VIA
4,5,SHIPPED_VIA
8,10,SHIPPED_VIA
11,8,SHIPPED_VIA
13,3,SHIPPED_VIA
17,8,SHIPPED_VIA
22,7,SHIPPED_VIA
26,7,SHIPPED_VIA
30,9,SHIPPED_VIA
33,1,SHIPPED_VIA
36,10,SHIPPED_VIA
37,2,SHIPPED_VIA
42,3,SHIPPED_VIA
43,7,SHIPPED_VIA
45,2,SHIPPED_VIA
46,4,SHIPPED_VIA
47,2,SHIPPED_VIA
48,1,SHIPPED_VIA
54,10,SHIPPED_VIA
55,8,SHIPPED_VIA
56,8,SHIPPED_VIA
57,3,SHIPPED_VIA
58,10,SHIPPED_VIA
62,8,SHIPPED_VIA
63,10,SHIPPED_VIA
65,1,SHIPPED_VIA
71,7,SHIPPED_VIA
75,2,SHIPPED_VIA
82,10,SHIPPED_VIA
84,6,SHIPPED_VIA
86,4,SHIPPED_VIA
87,5,SHIPPED_VIA
88,3,SHIPPED_VIA
89,3,SHIPPED_VIA
91,1,SHIPPED_VIA
97,8,SHIPPED_VIA
100,1,SHIPPED_VIA
1,1,SHIPPED_VIA
6,5,SHIPPED_VIA
9,1,SHIPPED_VIA
10,3,SHIPPED_VIA
12,10,SHIPPED_VIA
16,8,SHIPPED_VIA
18,4,SHIPPED_VIA
19,3,SHIPPED_VIA
21,1,SHIPPED_VIA
24,4,SHIPPED_VIA
27,3,SHIPPED_VIA
32,3,SHIPPED_VIA
34,4,SHIPPED_VIA
38,1,SHIPPED_VIA
39,6,SHIPPED_VIA
40,8,SHIPPED_VIA
44,4,SHIPPED_VIA
49,8,SHIPPED_VIA
50,6,SHIPPED_VIA
51,9,SHIPPED_VIA
53,8,SHIPPED_VIA
59,6,SHIPPED_VIA
60,3,SHIPPED_VIA
66,9,SHIPPED_VIA
67,4,SHIPPED_VIA
72,10,SHIPPED_VIA
73,9,SHIPPED_VIA
76,3,SHIPPED_VIA
79,8,SHIPPED_VIA
83,5,SHIPPED_VIA
85,8,SHIPPED_VIA
90,10,SHIPPED_VIA
95,1,SHIPPED_VIA
98,5,SHIPPED_VIA
99,5,SHIPPED_VIA
